country,city,rate,uid,address,name,price,thumbnail
France,Paris,5.0,04df9c32-4566-4db7-9e4f-26ae74c01303,10 rue Gager Gabillot 15th arr 75015 Paris France,Holiday Inn Paris Montparnasse Pasteur,286,
France,Paris,5.0,1664867f-dd63-4796-8414-ff8ef33dbea7,21 rue Moli re 1st arr 75001 Paris France,H tel Moli re,352,
France,Paris,5.0,40235955-a2dd-455a-accf-dfbe9c64a6f8,9 Carrefour de l Od on 6th arr 75006 Paris France,H tel Le Relais Saint Germain,4,
France,Paris,5.0,afd9da1b-75c9-4bb0-a8bd-64892805fb14,10 rue d Ormesson 4th arr 75004 Paris France,H tel de Jos phine BONAPARTE,232,
France,Paris,4.9,00ba040b-3b45-4b91-ad89-e4c974abd602,42 Rue Des Petites Ecuries 10th arr 75010 Paris France,Mercure Paris Opera Grands Boulevards,54,
France,Paris,4.9,49828489-75b3-405b-8d15-867d0ba38aea,92 Rue La Boetie 8th arr 75008 Paris France,Rochester Champs Elysees,45,
France,Paris,4.9,5296d17a-a6e2-49f4-bd73-a452c2236173,15 Rue de Bassano 16th arr 75016 Paris France,Bassano,109,
France,Paris,4.9,63d3e8ae-5545-4578-9dc5-6b1c5e4065f7,143 Avenue De Malakoff 16th arr 75016 Paris France,La Villa Maillot,271,
France,Paris,4.9,68cc3775-cdb2-4e09-8e80-0bccdea61941,98 Avenue d Italie 13th arr 75013 Paris France,Best Western Amiral Hotel,351,
France,Paris,4.9,7c7b15cb-7529-4998-8981-69b931ad7201,44 rue de Bourgogne 7th arr 75007 Paris France,H tel de Varenne,245,
France,Paris,4.9,7fdcc84a-41bd-4875-97b8-0231a7640ce4,218 220 rue du Faubourg St Honor 8th arr 75008 Paris France,Royal Garden Champs Elysees,168,
France,Paris,4.9,8341c4fc-2750-4716-843c-ef017eb050ad,19 Rue Tronchet 8th arr 75008 Paris France,Best Western Premier Op ra Opal,324,
France,Paris,4.9,8972619f-329f-4a47-80bf-2e4c80071205,4 Rue des Petites Ecuries 10th arr 75010 Paris France,Best Western Aulivia Op ra,142,
France,Paris,4.9,a49dc67b-879d-44cb-912d-e2806bd7b20e,13 Rue De La Paix 2nd arr 75002 Paris France,H tel Westminster,142,
France,Paris,4.9,b5b25f48-d09f-4a3b-ae3f-5a12a421b5f2,185 Boulevard Brune 14th arr 75014 Paris France,Mercure Paris Alesia,209,
France,Paris,4.9,b5eb365d-8171-4e88-98de-0cd99df4d8f8,3 Rue de Montalembert 7th arr 75007 Paris France,Hotel Montalembert,10,
France,Paris,4.9,bac26b68-0bec-4a14-b1c9-ee49b3c3225c,1 Rue De Libourne 12th arr 75012 Paris France,Pullman Paris Centre Bercy,130,
France,Paris,4.8,1efea776-ae12-4d48-8821-2287d47b7b12,160 Rue La Fayette 10th arr 75010 Paris France,H tel Hor,362,
France,Paris,4.8,8a2a96fb-dadf-4872-95a8-eda0a565264b,2 avenue la Porte Molitor 16th arr 75016 Paris France,Molitor Paris MGallery by Sofitel,318,
